mouse,ID,strain,DOB,age of mie,maternal_DOB,paternal_DOB,mat_ID,notes,gonad pairs collected,slides made,meiocyte incubation,staining
30sep14_G_m3,,Gough_L3,,12.5 days,"2796 (180 days at birth, ~25weeks)",,,30sep14: Gough L3 gen7? (2794) 9 pups (12.5),,,,
30sep14_G_m4,,Gough_L3,,12.5 days,"2797 (180 days at birth, ~25weeks)",,,30sep14: Gough L3 gen7? (2794) 9 pups (12.5),,,,
30sep14_G_m5,,Gough_L3,,12.5 days,"2798 (180 days at birth, ~25weeks)",,,30sep14: Gough L3 gen7? (2794) 9 pups (12.5),,,,
,,,,,,,,,,,,
27sep14: 5 WSB pups (12.5) from 2 litters,,,,,,,,,1 male 12.5 days,,,
27sep14_WSB_m1,,,,12.5 days,,,,,,,,
25sep14 WSB,,WSB,,,,,,,4 male 12.5 days,3 slides each,spermatocytes seem ok,"3 slides stained 16nov14, bad antibody staining"
25sep14: Gough L1-3 (2889) 6 pups 2males(12.5),,gough,,,2886 (5 months 5 days at birth),,,,2 males 12.5 days,,"29nov14 MLH1 stain, m2, all cells lysed",2dec14 showed 24sep14G_m2 had bad spermatocytes
,,,,,,,,,,,,
24sep14_PWD_m1,,,,,,,,24sep14: PWD 5 males (11.5),,,,
24sep14_PWD_m2,,,,,,,,24sep14: PWD 5 males (11.5),,,,
24sep14_PWD_m3,,,,,,,,24sep14: PWD 5 males (11.5),,,,
,,,,,,,,,,,,
15sep14: 4 neonates,,WSB,,,,,,,,,,
14sep14: WSB 4 neonates,,WSB,,,,,,,,,,
14sep14_WSB_f1,,,,,,,,,,,,
15sep14_WSB_f2,,,,,,,,,,,,
,,,,,,,,,,,,
11sep14: Gough 3 males L1-3 (2886) (12.5 days),,Gough L13,,,"2886 (147days at birth, ~20weeks)",,,,,,,
11sep14_G_m1,,Gough L13,,,,,,,,,,
11sep14_G_m2,,Gough L13,,,,,,,,,,
11sep14_G_m3,,Gough L13,,,,,,,,,,
,,,,,,,,,,,,
8sep14: 2 (12.5 PWD males),,PWD,,,,,,,,,,
"3sep14: 2 males (12.5) PWD, testing incubation",,PWD,,,,,,,,,,
"30aug14: 3 Gough neonates, 18.5 days post fertilization",,Gough_L13,,,"2886 (21 weeks, ~5 months)",,,,2 females,9 slides total made (this probably was too much),,
8aug14: 6 frozen dead pups,,,,,,,,,did not work,,,
28jul14: 1 female (2890) 5 embryos (11days),,,,,2890 L1_3 15 weeks,,,,,,,
"27jul14: 2 females (2868 and 2892), 5 embryos",,,,,L13 2892 ~15 weeks,,,,"imaged 2 slides, first sucessful female MLH1 staining",,,
,,,,,,,,,,,,
7jul14: G 2795 female litter of 12 (12.5 days),,,,,,,,,,,,
5jul14: G littler 11,,,,,,,,,,,,
3jul14: G 1 female 9 embryos,,,,,,,,,,,,
"30jun14: G 7 embryos, 2 females",,,,,,,,,,,,
3jun14: 1 WSB pup,,,,,,,,,,,,
