mouse,ID,strain,DOB,notes,mouse
21dec14_WSB_m2,,,4/25/2014,,21dec14_WSB_m2
21dec14_WSB_m3,,,3/27/2014,,21dec14_WSB_m3
13oct14_G_f1,,gough L13,,,13oct14_G_f1
13oct14_G_f2,,gough L13,,,13oct14_G_f2
13oct14_G_f3,,gough L13,,,13oct14_G_f3
13oct14_G_f4,,gough L13,,,13oct14_G_f4
,,,,,
,,,,,
8oct14_G_f1,,G,,emb,8oct14_G_f1
8oct14_PWD_f1,,PWD,10/8/2014,,8oct14_PWD_f1
8oct14_PWD_f2,,PWD,10/8/2014,,8oct14_PWD_f2
8oct14_PWD_f3,,PWD,10/8/2014,,8oct14_PWD_f3
8oct14_PWD_f4,,PWD,10/8/2014,,8oct14_PWD_f4
8oct14_PWD_f5,,PWD,10/8/2014,,8oct14_PWD_f5
8oct14_PWD_f6,,PWD,10/8/2014,,8oct14_PWD_f6
8oct14_PWD_f7,,PWD,10/8/2014,,8oct14_PWD_f7
8oct14_PWD_f8,,PWD,10/8/2014,,8oct14_PWD_f8
,,,,,
8oct14_WSB_f1,,WSB,10/8/2014,,8oct14_WSB_f1
8oct14_WSB_f2,,WSB,10/8/2014,,8oct14_WSB_f2
8oct14_WSB_f3,,WSB,10/8/2014,,8oct14_WSB_f3
,,,,,
30sep14_G_m1,,Gough_L3,9/17/2014,12.5 days,30sep14_G_m1
30sep14_G_m2,,Gough_L3,9/17/2014,12.5 days,30sep14_G_m2
30sep14_G_m3,,Gough_L3,9/17/2014,12.5 days,30sep14_G_m3
30sep14_G_m4,,Gough_L3,9/17/2014,12.5 days,30sep14_G_m4
30sep14_G_m5,,Gough_L3,9/17/2014,12.5 days,30sep14_G_m5
,,,,,
27sep14: 5 WSB pups (12.5) from 2 litters,,,,,27sep14: 5 WSB pups (12.5) from 2 litters
27sep14_WSB_m1,,,,12.5 days,27sep14_WSB_m1
25sep14 WSB,,WSB,,,25sep14 WSB
25sep14: Gough L1-3 (2889) 6 pups 2males(12.5),,gough,,,25sep14: Gough L1-3 (2889) 6 pups 2males(12.5)
,,,,,
24sep14_PWD_m1,,,,,24sep14_PWD_m1
24sep14_PWD_m2,,,,,24sep14_PWD_m2
24sep14_PWD_m3,,,,,24sep14_PWD_m3
,,,,,
15sep14: 4 neonates,,WSB,,,15sep14: 4 neonates
14sep14: WSB 4 neonates,,WSB,,,14sep14: WSB 4 neonates
14sep14_WSB_f1,,,,,14sep14_WSB_f1
15sep14_WSB_f2,,,,,15sep14_WSB_f2
,,,,,
11sep14: Gough 3 males L1-3 (2886) (12.5 days),,Gough L13,,,11sep14: Gough 3 males L1-3 (2886) (12.5 days)
11sep14_G_m1,,Gough L13,,,11sep14_G_m1
11sep14_G_m2,,Gough L13,,,11sep14_G_m2
11sep14_G_m3,,Gough L13,,,11sep14_G_m3
,,,,,
8sep14: 2 (12.5 PWD males),,PWD,,,8sep14: 2 (12.5 PWD males)
"3sep14: 2 males (12.5) PWD, testing incubation",,PWD,,,"3sep14: 2 males (12.5) PWD, testing incubation"
"30aug14: 3 Gough neonates, 18.5 days post fertilization",,Gough_L13,,,"30aug14: 3 Gough neonates, 18.5 days post fertilization"
8aug14: 6 frozen dead pups,,,,,8aug14: 6 frozen dead pups
28jul14: 1 female (2890) 5 embryos (11days),,,,,28jul14: 1 female (2890) 5 embryos (11days)
"27jul14: 2 females (2868 and 2892), 5 embryos",,,,,"27jul14: 2 females (2868 and 2892), 5 embryos"
,,,,,
7jul14: G 2795 female litter of 12 (12.5 days),,,,,7jul14: G 2795 female litter of 12 (12.5 days)
5jul14: G littler 11,,,,,5jul14: G littler 11
3jul14: G 1 female 9 embryos,,,,,3jul14: G 1 female 9 embryos
"30jun14: G 7 embryos, 2 females",,,,,"30jun14: G 7 embryos, 2 females"
3jun14: 1 WSB pup,,,,,3jun14: 1 WSB pup
