mouse	ID	strain	DOB	notes	female.stage	mouse.1	euth.date	age.days	age.weeks	subsp	sex	category
13oct17_MAD_m9		other	NA	NA		13oct17_MAD_m9	10/13/2017	NA	NA	other	male	other
13oct17_MAD_m8		other	NA	NA		13oct17_MAD_m8	10/13/2017	NA	NA	other	male	other
13jan17_LEW_m1	LEW_original founder	LEW	NA	original founder		13jan17_LEW_m1	1/13/2017	NA	NA	Dom	male	LEW male
10jul19_KAZ_m1		KAZ	6/1/2019				7/10/2019	39	5.571428571	Musc	male	KAZ male
10jul19_KAZ_m2		KAZ	6/1/2019				7/10/2019	39	5.571428571	Musc	male	KAZ male
10jul19_KAZ_m3		KAZ	6/1/2019				7/10/2019	39	5.571428571	Musc	male	KAZ male
10jul19_KAZ_m4		KAZ	6/1/2019				7/10/2019	39	5.571428571	Musc	male	KAZ male
31may19_SKIVE_m1		SKIVE	4/22/2019				5/31/2019	39	5.571428571	other	male	SKIVE male
31may19_SKIVE_m3		SKIVE	NA				5/31/2019	NA	NA	other	male	SKIVE male
1mar19_MOLF_m1		MOLF	9/17/2018				3/1/2019	165	23.57142857	other	male	MOLF male
1mar19_LEW_m1		LEW	10/22/2018				3/1/2019	130	18.57142857	Dom	male	LEW male
4feb19_MSM_m1		MSM	10/1/2018				2/4/2019	126	18	Musc	male	MSM male
4feb19_MSM_m2		MSM	7/7/2018				2/4/2019	212	30.28571429	Musc	male	MSM male
4feb19_MSM_m3		MSM	4/3/2018				2/4/2019	307	43.85714286	Musc	male	MSM male
4feb19_MSM_m4		MSM	7/29/2018				2/4/2019	190	27.14285714	Musc	male	MSM male
4feb19_SKIVE_m1		SKIVE	1/31/2018				2/4/2019	369	52.71428571	other	male	SKIVE male
4feb19_MOLF_m1		MOLF	5/24/2018				2/4/2019	256	36.57142857	other	male	MOLF male
20dec18_CZECH_m1		CZECH	1/23/2018				12/20/2018	331	47.28571429	other	male	CZECH male
3dec18_PWD_m1		PWD	11/2/2018				12/3/2018	31	4.428571429	Musc	male	PWD male
3dec18_PWD_m2		PWD	11/2/2018				12/3/2018	31	4.428571429	Musc	male	PWD male
3dec18_CZECH_m1		CZECH	1/23/2018				12/3/2018	314	44.85714286	other	male	CZECH male
27oct18_PERC_m1		PERC	5/25/2018			27oct18_PERC_m1	10/27/2018	155	22.14285714	other	male	PERC male
27oct18_PERC_m2		PERC	5/24/2018			27oct18_PERC_m2	10/27/2018	156	22.28571429	other	male	PERC male
27oct18_PERC_m3		PERC	NA			27oct18_PERC_m3	10/27/2018	NA	NA	other	male	PERC male
27oct18_SKIVE_m1		SKIVE	9/3/2018			27oct18_SKIVE_m1	10/27/2018	54	7.714285714	other	male	SKIVE male
27oct18_SKIVE_m2	BP2	SKIVE	1/13/2018			27oct18_SKIVE_m2	10/27/2018	287	41	other	male	SKIVE male
27oct18_MOLF_m1		MOLF	5/17/2018			27oct18_MOLF_m1	10/27/2018	163	23.28571429	other	male	MOLF male
27oct18_MOLF_m2		MOLF	9/25/2018			27oct18_MOLF_m2	10/27/2018	32	4.571428571	other	male	MOLF male
27oct18_MOLF_m3		MOLF	9/18/2018			27oct18_MOLF_m3	10/27/2018	39	5.571428571	other	male	MOLF male
26oct18_MOLF_m1		MOLF	7/23/2018			26oct18_MOLF_m1	10/26/2018	95	13.57142857	other	male	MOLF male
26oct18_CZECH_m1		CZECH	8/31/2018			26oct18_CZECH_m1	10/26/2018	56	8	other	male	CZECH male
26oct18_SKIVE_m1		SKIVE	5/5/2018			26oct18_SKIVE_m1	10/26/2018	174	24.85714286	other	male	SKIVE male
28sep18_MOLF_m1		MOLF	8/20/2018			28sep18_MOLF_m1	9/28/2018	39	5.571428571	other	male	MOLF male
28sep18_MOLF_m2		MOLF	8/20/2018			28sep18_MOLF_m2	9/28/2018	39	5.571428571	other	male	MOLF male
28sep18_CZECH_m1		CZECH	8/6/2018			28sep18_CZECH_m1	9/28/2018	53	7.571428571	other	male	CZECH male
28sep18_CZECH_m2		CZECH	8/6/2018			28sep18_CZECH_m2	9/28/2018	53	7.571428571	other	male	CZECH male
28sep18_CZECH_m3		CZECH	6/25/2018			28sep18_CZECH_m3	9/28/2018	95	13.57142857	other	male	CZECH male
28sep18_TOM_m1		TOM	NA			28sep18_TOM_m1	9/28/2018	NA	NA	other	male	TOM male
3sep18_HMI_m1		HMI	NA			3sep18_HMI_m1	9/3/2018	NA	NA	Cast	male	HMI male
3sep18_HMI_m2		HMI	NA			3sep18_HMI_m2	9/3/2018	NA	NA	Cast	male	HMI male
3sep18_HMI_m3		HMI	NA			3sep18_HMI_m3	9/3/2018	NA	NA	Cast	male	HMI male
27aug18_SPRET_m1		SPRET	10/24/2017			27aug18_SPRET_m1	8/27/2018	307	43.85714286	Spretus	male	SPRET male
27aug18_AST_m1		AST	4/12/2017			27aug18_AST_m1	8/27/2018	502	71.71428571	other	male	AST male
27aug18_HMI_m1		HMI	10/30/2017			27aug18_HMI_m1	8/27/2018	301	43	Cast	male	HMI male
27aug18_HMI_m2		HMI	10/30/2017			27aug18_HMI_m2	8/27/2018	301	43	Cast	male	HMI male
27aug18_CZECH_m1		CZECH	4/26/2018			27aug18_CZECH_m1	8/27/2018	123	17.57142857	other	male	CZECH male
7aug18_SPIC_m1		SPIC	7/6/2018			7aug18_SPIC_m1	8/7/2018	32	4.571428571	Spic	male	SPIC male
7aug18_LEW_m1		LEW	7/6/2018			7aug18_LEW_m1	8/7/2018	32	4.571428571	Dom	male	LEW male
7aug18_AST_m1	AST_3	AST	4/12/2017			7aug18_AST_m1	8/7/2018	482	68.85714286	other	male	AST male
7aug18_SPRET_m1		SPRET	6/20/2017			7aug18_SPRET_m1	8/7/2018	413	59	Spretus	male	SPRET male
7aug18_SPRET_m2		SPRET	6/20/2017			7aug18_SPRET_m2	8/7/2018	413	59	Spretus	male	SPRET male
2aug18_SPIC_m1		SPIC	6/22/2018			2aug18_SPIC_m1	8/2/2018	41	5.857142857	Spic	male	SPIC male
2aug18_SPRET_m1		SPRET	9/25/2017			2aug18_SPRET_m1	8/2/2018	311	44.42857143	Spretus	male	SPRET male
3jul18_TOM_m1		TOM	4/26/2017			3jul18_TOM_m1	7/3/2018	433	61.85714286	other	male	TOM male
4jul18_MAD_m23		other	NA			4jul18_MAD_m23	7/4/2018	NA	NA	other	male	other
4jul18_MAD_m24		other	NA			4jul18_MAD_m24	7/4/2018	NA	NA	other	male	other
28jun18_MOLF_m1		MOLF	5/24/2018			28jun18_MOLF_m1	6/28/2018	35	5	other	male	MOLF male
28jun18_TOM_m1		TOM	4/26/2017			28jun18_TOM_m1	6/28/2018	428	61.14285714	other	male	TOM male
28jun18_HMI_m1		HMI	10/30/2017			28jun18_HMI_m1	6/28/2018	241	34.42857143	Cast	male	HMI male
28jun18_SPIC_m1		SPIC	5/7/2018			28jun18_SPIC_m1	6/28/2018	52	7.428571429	Spic	male	SPIC male
28jun18_SPIC_m2		SPIC	5/7/2018			28jun18_SPIC_m2	6/28/2018	52	7.428571429	Spic	male	SPIC male
28jun18_SPIC_m3		SPIC	5/7/2018			28jun18_SPIC_m3	6/28/2018	52	7.428571429	Spic	male	SPIC male
8jun18_CZECH_m1		CZECH	4/1/2018			8jun18_CZECH_m1	6/8/2018	68	9.714285714	other	male	CZECH male
8jun18_CZECH_m2		CZECH	4/1/2018			8jun18_CZECH_m2	6/8/2018	68	9.714285714	other	male	CZECH male
8jun18_AST_m1		AST	NA			8jun18_AST_m1	6/8/2018	NA	NA	other	male	AST male
8jun18_SPIC_m1		SPIC	2/19/2018			8jun18_SPIC_m1	6/8/2018	109	15.57142857	Spic	male	SPIC male
8jun18_SPIC_m2		SPIC	2/19/2018			8jun18_SPIC_m2	6/8/2018	109	15.57142857	Spic	male	SPIC male
30may18_KAZ_m1		KAZ	4/2/2018			30may18_KAZ_m1	5/30/2018	58	8.285714286	Musc	male	KAZ male
30may18_KAZ_m2		KAZ	4/2/2018			30may18_KAZ_m2	5/30/2018	58	8.285714286	Musc	male	KAZ male
30may18_KAZ_m3		KAZ	4/2/2018			30may18_KAZ_m3	5/30/2018	58	8.285714286	Musc	male	KAZ male
21may18_KAZ_m2		KAZ	4/2/2018			21may18_KAZ_m2	5/21/2018	49	7	Musc	male	KAZ male
21may18_KAZ_m1		KAZ	3/12/2018			21may18_KAZ_m1	5/21/2018	70	10	Musc	male	KAZ male
19may18_KAZ_m1		KAZ	12/30/2017			19may18_KAZ_m1	5/19/2018	140	20	Musc	male	KAZ male
19may18_KAZ_m2		KAZ	10/3/2017			19may18_KAZ_m2	5/19/2018	228	32.57142857	Musc	male	KAZ male
19may18_SPIC_m1		SPIC	4/9/2017			19may18_SPIC_m1	5/19/2018	405	57.85714286	Spic	male	SPIC male
19may18_SPIC_m2		SPIC	4/9/2017			19may18_SPIC_m2	5/19/2018	405	57.85714286	Spic	male	SPIC male
30may18_MAD_m15		other	NA			30may18_MAD_m15	5/30/2018	NA	NA	other	male	other
9apr18_MAD_m13		other	NA			9apr18_MAD_m13	4/9/2018	NA	NA	other	male	other
9apr18_MAD_m14		other	NA			9apr18_MAD_m14	4/9/2018	NA	NA	other	male	other
9apr18_CAROLI_m1		CAROLI	7/20/2017			9apr18_CAROLI_m1	4/9/2018	263	37.57142857	Caroli	male	CAROLI male
9apr18_KAZ_m1		KAZ	3/15/2017			9apr18_KAZ_m1	4/9/2018	390	55.71428571	Musc	male	KAZ male
9apr18_KAZ_m2		KAZ	3/15/2017			9apr18_KAZ_m2	4/9/2018	390	55.71428571	Musc	male	KAZ male
1mar18_CAROLI_m1		CAROLI	7/20/2017			1mar18_CAROLI_m1	3/1/2018	224	32	Caroli	male	CAROLI male
1mar18_WSB_m1		WSB	6/21/2017			1mar18_WSB_m1	3/1/2018	253	36.14285714	Dom	male	WSB male
1mar18_WSB_m2		WSB	3/30/2017			1mar18_WSB_m2	3/1/2018	336	48	Dom	male	WSB male
11feb18_KAZ_m1		KAZ	11/26/2017			11feb18_KAZ_m1	2/11/2018	77	11	Musc	male	KAZ male
11feb18_KAZ_m2		KAZ	10/3/2017			11feb18_KAZ_m2	2/11/2018	131	18.71428571	Musc	male	KAZ male
11feb18_KAZ_m3		KAZ	10/11/2017			11feb18_KAZ_m3	2/11/2018	123	17.57142857	Musc	male	KAZ male
3feb18_MAD_m12		other	NA			3feb18_MAD_m12	2/3/2018	NA	NA	other	male	other
3feb18_MAD_m11		other	NA			3feb18_MAD_m11	2/3/2018	NA	NA	other	male	other
1feb18_LEW_m1		LEW	12/6/2017			1feb18_LEW_m1	2/1/2018	57	8.142857143	Dom	male	LEW male
1feb18_MSM_m1		MSM	12/5/2017			1feb18_MSM_m1	2/1/2018	58	8.285714286	Musc	male	MSM male
1feb18_KAZ_m1	original BP	KAZ	4/12/2017			1feb18_KAZ_m1	2/1/2018	295	42.14285714	Musc	male	KAZ male
11jan18_SPRET_m1		SPRET	4/27/2017			11jan18_SPRET_m1	1/11/2018	259	37	Spretus	male	SPRET male
11jan18_SPIC_m1		SPIC	4/6/2017			11jan18_SPIC_m1	1/11/2018	280	40	Spic	male	SPIC male
4dec17_SPIC_m1		SPIC	10/5/2017			4dec17_SPIC_m1	12/4/2017	60	8.571428571	Spic	male	SPIC male
4dec17_KAZ_m1		KAZ	10/3/2017			4dec17_KAZ_m1	12/4/2017	62	8.857142857	Musc	male	KAZ male
4dec17_HMI_m1		HMI	4/2/2017			4dec17_HMI_m1	12/4/2017	246	35.14285714	Cast	male	HMI male
30oct17_SPIC_m1		SPIC	4/6/2017			30oct17_SPIC_m1	10/30/2017	207	29.57142857	Spic	male	SPIC male
30oct17_SPIC_m2		SPIC	9/10/2017			30oct17_SPIC_m2	10/30/2017	50	7.142857143	Spic	male	SPIC male
30oct17_SPIC_m3		SPIC	9/10/2017			30oct17_SPIC_m3	10/30/2017	50	7.142857143	Spic	male	SPIC male
30oct17_SPIC_m4		SPIC	9/10/2017			30oct17_SPIC_m4	10/30/2017	50	7.142857143	Spic	male	SPIC male
30oct17_HMI_m1		HMI	8/27/2017			30oct17_HMI_m1	10/30/2017	64	9.142857143	Cast	male	HMI male
13oct17_SPRET_m1		SPRET	7/26/2017			13oct17_SPRET_m1	10/13/2017	79	11.28571429	Spretus	male	SPRET male
13oct17_SPRET_m2		SPRET	7/26/2017			13oct17_SPRET_m2	10/13/2017	79	11.28571429	Spretus	male	SPRET male
23sep17_CAST_m1		CAST	10/25/2016			23sep17_CAST_m1	9/23/2017	333	47.57142857	Cast	male	CAST male
23sep17_CAST_m2		CAST	10/25/2016			23sep17_CAST_m2	9/23/2017	333	47.57142857	Cast	male	CAST male
18sep17_LEW_m1		LEW	3/24/2017			18sep17_LEW_m1	9/18/2017	178	25.42857143	Dom	male	LEW male
18sep17_LEW_m2		LEW	5/31/2017			18sep17_LEW_m2	9/18/2017	110	15.71428571	Dom	male	LEW male
18sep17_LEW_m3		LEW	5/24/2017			18sep17_LEW_m3	9/18/2017	117	16.71428571	Dom	male	LEW male
18sep17_LEW_m4		LEW	5/5/2017			18sep17_LEW_m4	9/18/2017	136	19.42857143	Dom	male	LEW male
18sep17_LEW_m5		LEW	5/5/2017			18sep17_LEW_m5	9/18/2017	136	19.42857143	Dom	male	LEW male
24aug17_CAST_m1		CAST	4/27/2016			24aug17_CAST_m1	8/24/2017	484	69.14285714	Cast	male	CAST male
24aug17_SPRET_m1		SPRET	4/24/2017			24aug17_SPRET_m1	8/24/2017	122	17.42857143	Spretus	male	SPRET male
24aug17_PERC_m1		PERC	NA			24aug17_PERC_m1	8/24/2017	NA	NA	other	male	PERC male
31jul17_HMI_m1		HMI	4/27/2017			31jul17_HMI_m1	7/31/2017	95	13.57142857	Cast	male	HMI male
13jul17_SPRET_m1		SPRET	10/13/2016			13jul17_SPRET_m1	7/13/2017	273	39	Spretus	male	SPRET male
5jul17_MSM_m1		MSM	12/1/2016			5jul17_MSM_m1	7/5/2017	216	30.85714286	Musc	male	MSM male
5jul17_PERC_m1		PERC	5/23/2016			5jul17_PERC_m1	7/5/2017	408	58.28571429	other	male	PERC male
5jul17_CAST_m1		CAST	11/24/2015			5jul17_CAST_m1	7/5/2017	589	84.14285714	Cast	male	CAST male
30may17_SPRET_m1		SPRET	4/9/2017			30may17_SPRET_m1	5/30/2017	51	7.285714286	Spretus	male	SPRET male
30may17_MSM_m1		MSM	12/1/2016			30may17_MSM_m1	5/30/2017	180	25.71428571	Musc	male	MSM male
8may17_LEW_m2		LEW	8/20/2016			8may17_LEW_m2	5/8/2017	261	37.28571429	Dom	male	LEW male
8may17_LEW_m1	1.2.m2	LEW	10/6/2016			8may17_LEW_m1	5/8/2017	214	30.57142857	Dom	male	LEW male
8may17_SPRET_m1		SPRET	1/22/2017			8may17_SPRET_m1	5/8/2017	106	15.14285714	Spretus	male	SPRET male
6apr17_LEW_m1		LEW	3/1/2017			6apr17_LEW_m1	4/6/2017	36	5.142857143	Dom	male	LEW male
6apr17_LEW_m2		LEW	3/1/2017			6apr17_LEW_m2	4/6/2017	36	5.142857143	Dom	male	LEW male
6apr17_LEW_m3		LEW	3/1/2017			6apr17_LEW_m3	4/6/2017	36	5.142857143	Dom	male	LEW male
6apr17_LEW_m4		LEW	3/1/2017			6apr17_LEW_m4	4/6/2017	36	5.142857143	Dom	male	LEW male
6apr17_LEW_m5		LEW	3/1/2017			6apr17_LEW_m5	4/6/2017	36	5.142857143	Dom	male	LEW male
6apr17_LxP.F1_m1		other	2/28/2017			6apr17_LxP.F1_m1	4/6/2017	37	5.285714286	other	male	other
6apr17_LxP.F1_m2		other	2/28/2017			6apr17_LxP.F1_m2	4/6/2017	37	5.285714286	other	male	other
6apr17_LxP.F1_m3		other	2/27/2017			6apr17_LxP.F1_m3	4/6/2017	38	5.428571429	other	male	other
30Dec16_MSM_m1		MSM	12/18/2016			30Dec16_MSM_m1	12/30/2016	12	1.714285714	Musc	male	MSM male
30Dec16_MSM_m2		MSM	12/18/2016			30Dec16_MSM_m2	12/30/2016	12	1.714285714	Musc	male	MSM male
30Dec16_MSM_m3		MSM	12/18/2016			30Dec16_MSM_m3	12/30/2016	12	1.714285714	Musc	male	MSM male
20dec16_MSM_m1		MSM	10/5/2016			20dec16_MSM_m1	12/20/2016	76	10.85714286	Musc	male	MSM male
20dec16_MSM_m2		MSM	10/5/2016			20dec16_MSM_m2	12/20/2016	76	10.85714286	Musc	male	MSM male
20dec16_LEW_m1		LEW	10/6/2016			20dec16_LEW_m1	12/20/2016	75	10.71428571	Dom	male	LEW male
20dec16_LEW_m2	original founder	LEW	5/1/2016			20dec16_LEW_m2	12/20/2016	233	33.28571429	Dom	male	LEW male
20dec16_LEW_m3		LEW	11/2/2016			20dec16_LEW_m3	12/20/2016	48	6.857142857	Dom	male	LEW male
13nov16_MSM_m1		MSM	4/18/2016			13nov16_MSM_m1	11/13/2016	209	29.85714286	Musc	male	MSM male
13nov16_MSM_m2	original founder	MSM	4/18/2016			13nov16_MSM_m2	11/13/2016	209	29.85714286	Musc	male	MSM male
1apr16_PWD_m1		PWD	2/1/2016			1apr16_PWD_m1	4/1/2016	60	8.571428571	Musc	male	PWD male
1apr16_PWD_m2		PWD	2/1/2016			1apr16_PWD_m2	4/1/2016	60	8.571428571	Musc	male	PWD male
1apr16_PWD_m3		PWD	2/8/2016			1apr16_PWD_m3	4/1/2016	53	7.571428571	Musc	male	PWD male
1apr16_G_m1		G	2/4/2016			1apr16_G_m1	4/1/2016	57	8.142857143	Dom	male	G male
1apr16_G_m2		G	2/4/2016			1apr16_G_m2	4/1/2016	57	8.142857143	Dom	male	G male
1apr16_G_m3		G	2/4/2016			1apr16_G_m3	4/1/2016	57	8.142857143	Dom	male	G male
1apr16_G_m4		G	2/4/2016			1apr16_G_m4	4/1/2016	57	8.142857143	Dom	male	G male
19oct15_G_m1		G	2/20/2015			19oct15_G_m1	10/19/2015	241	34.42857143	Dom	male	G male
12jun15_WSB_m1		WSB	4/4/2015			12jun15_WSB_m1	6/12/2015	69	9.857142857	Dom	male	WSB male
12jun15_WSB_m2		WSB	4/4/2015			12jun15_WSB_m2	6/12/2015	69	9.857142857	Dom	male	WSB male
24apr15_PWD_m2		PWD	3/23/2015			24apr15_PWD_m2	4/24/2015	32	4.571428571	Musc	male	PWD male
31mar15_WSB_m1		WSB	11/27/2014			31mar15_WSB_m1	3/31/2015	124	17.71428571	Dom	male	WSB male
31mar15_WSB_m2		WSB	11/27/2014			31mar15_WSB_m2	3/31/2015	124	17.71428571	Dom	male	WSB male
31mar15_WSB_m3		WSB	10/16/2014			31mar15_WSB_m3	3/31/2015	166	23.71428571	Dom	male	WSB male
14mar15_G_m2	2933	G	4/12/2014			14mar15_G_m2	3/14/2015	336	48	Dom	male	G male
10mar15_PWD_m1		PWD	12/10/2014			10mar15_PWD_m1	3/10/2015	90	12.85714286	Musc	male	PWD male
10mar15_PWD_m2		PWD	12/10/2014			10mar15_PWD_m2	3/10/2015	90	12.85714286	Musc	male	PWD male
10mar15_WSB_m1		WSB	11/10/2014			10mar15_WSB_m1	3/10/2015	120	17.14285714	Dom	male	WSB male
10mar15_WSB_m2		WSB	11/10/2014			10mar15_WSB_m2	3/10/2015	120	17.14285714	Dom	male	WSB male
1mar15_WSB_m1		WSB	10/16/2014			1mar15_WSB_m1	3/1/2015	136	19.42857143	Dom	male	WSB male
1mar15_PWD_m1		PWD	12/10/2014			1mar15_PWD_m1	3/1/2015	81	11.57142857	Musc	male	PWD male
30dec14_WSB_m1		WSB	12/17/2014			30dec14_WSB_m1	12/30/2014	13	1.857142857	Dom	male	WSB male
30dec14_WSB_m2		WSB	12/17/2014			30dec14_WSB_m2	12/30/2014	13	1.857142857	Dom	male	WSB male
30dec14_WSB_m3		WSB	12/17/2014			30dec14_WSB_m3	12/30/2014	13	1.857142857	Dom	male	WSB male
30dec14_WSB_m4		WSB	12/17/2014			30dec14_WSB_m4	12/30/2014	13	1.857142857	Dom	male	WSB male
30dec14_WSB_m5		WSB	12/17/2014			30dec14_WSB_m5	12/30/2014	13	1.857142857	Dom	male	WSB male
21dec14_WSB_m1		WSB	6/30/2014			21dec14_WSB_m1	12/21/2014	174	24.85714286	Dom	male	WSB male
21dec14_WSB_m2		WSB	4/25/2014			21dec14_WSB_m2	12/21/2014	240	34.28571429	Dom	male	WSB male
21dec14_WSB_m3		WSB	3/27/2014			21dec14_WSB_m3	12/21/2014	269	38.42857143	Dom	male	WSB male
28jun18_MAD_19		other	NA			28jun18_MAD_19	6/28/2018	NA	NA	other	NA	other
28jun18_MAD_18		other	NA			28jun18_MAD_18	6/28/2018	NA	NA	other	NA	other
5jul17_SPRET		other	NA			5jul17_SPRET	7/5/2017	NA	NA	other	NA	other
19aug19_SKIVE_m1		SKIVE	7/13/2019			19aug19_SKIVE_m1	8/19/2019	37	5	Musc	male	SKIVE male
19aug19_SKIVE_m2		SKIVE	7/13/2019			19aug19_SKIVE_m2	8/19/2019	37	5	Musc	male	SKIVE male
